"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SC1";"vite_3mm";1;"SCREW";;;
2;"P9";"ISP";1;"ISP";;;
3;"P4,P5";"PIN_ARRAY-6X1";2;"CONN_6";;;
4;"P6";"pin_strip_2";1;"9VBAT";;;
5;"P8";"PIN_ARRAY-6X1";1;"FTDI";;;
6;"P3";"PIN_ARRAY-6X1";1;"BootDrive";;;
7;"P7";"PIN_ARRAY-6X1";1;"GPS_UP501";;;
8;"R9,R2,R1,R7,R3,R4,R6";"r_0805";7;"10k";;;
9;"U2";"SO14E";1;"74HC125";;;
10;"B18,B19,B1,P1,B15,B2,B3,B8,B14,B13,B12,B9,B7,B6,B5,B4";"I/O";16;"I/O";;;
11;"U4";"DS3231";1;"DS3231N";;;
12;"U3";"SOT23-5";1;"5V0";;;
13;"U1";"SOT23-3";1;"3V3";;;
14;"IC1";"TQFP32";1;"ATMEGA328";;;
15;"D1,D2";"d_0805";2;"LED";;;
16;"C6";"C_ELCO_SMD";1;"47u,10V";;;
17;"C2,C5";"c_0805";2;"1u";;;
18;"C1,C7,C4,C8,C9";"c_0805";5;"100n";;;
19;"C10,C11";"c_0805";2;"22p";;;
20;"C3";"c_0805";1;"2u2_Tant";;;
21;"P13,P12";"Sck-04-F-SMT";2;"CD1";;;
22;"P10,P11";"Sck-04-F-SMT";2;"CD2";;;
23;"SW1";"SW_SMD";1;"SW_PUSH";;;
24;"X1";"Xtal_SMD2";1;"CRYSTAL_2";;;
25;"SD1";"SD_Micro";1;"SD_CARD_MICRO";;;
26;"BT1";"CR1632";1;"BATT_RTC";;;
27;"B11,B10,B17,B16";"I/O_ADR";4;"I/O";;;
28;"R8,R5";"r_0805";2;"1k5";;;
29;"G***";"OSHW_6mm";1;"LOGO";;;
30;"G1,G1";"Logo-WL3";2;"Logo-WL3";;;
31;"D4,D3";"d_VMD2";2;"RB886GT2R";;;
32;"PCB1";"PCB";1;"PCB";;;
